,Financial Services,Diversified,Capital Goods,Construction Materials,Healthcare,Chemicals,Information Technology,Power,Metals & Mining,Services,Oil Gas & Consumable Fuels,Fast Moving Consumer Goods,Consumer Services,Construction,Textiles,Automobile and Auto Components,Consumer Durables,Realty,Telecommunication,Forest Materials,Media Entertainment & Publication,Utilities
40,HDFCBANK,,HEG,,LUPIN,PIIND,,,,,,TRIVENI,,,,SUPRAJIT,VGUARD,,,,,
41,HDFCLIFE,,HLEGLAS,,MANKIND,PARADEEP,,,,,,UBL,,,,TVSMOTOR,VIPIND,,,,,
42,HOMEFIRST,,HARSHA,,MARKSANS,PIDILITIND,,,,,,MCDOWELL-N,,,,TATAMTRDVR,VAIBHAVGBL,,,,,
43,HUDCO,,HAL,,MAXHEALTH,PRIVISCL,,,,,,VBL,,,,TATAMOTORS,VOLTAS,,,,,
44,ICICIBANK,,POWERINDIA,,METROPOLIS,RAIN,,,,,,VENKEYS,,,,TIINDIA,WHIRLPOOL,,,,,
45,ICICIGI,,HONAUT,,NATCOPHARM,RALLIS,,,,,,ZYDUSWELL,,,,UNOMINDA,,,,,,
46,ICICIPRULI,,INGERRAND,,NH,RCF,,,,,,,,,,VARROC,,,,,,
47,ISEC,,INOXWIND,,NEULANDLAB,ROSSARI,,,,,,,,,,ZFCVINDIA,,,,,,
48,IDBI,,JTLIND,,PFIZER,SRF,,,,,,,,,,,,,,,,
49,IDFCFIRSTB,,JAICORPLTD,,PPLPHARMA,SHARDACROP,,,,,,,,,,,,,,,,
50,IDFC,,JISLJALEQS,,POLYMED,SOLARINDS,,,,,,,,,,,,,,,,
51,IFCI,,JINDALPOLY,,PGHL,STYRENIX,,,,,,,,,,,,,,,,
52,IIFL,,JINDALSAW,,RAINBOW,SUDARSCHEM,,,,,,,,,,,,,,,,
53,IBULHSGFIN,,JWL,,SANOFI,SUMICHEM,,,,,,,,,,,,,,,,
54,INDIANB,,KEI,,SEQUENT,SPLPETRO,,,,,,,,,,,,,,,,
55,IEX,,KSB,,SHILPAMED,TATACHEM,,,,,,,,,,,,,,,,
56,IOB,,KAYNES,,STAR,TATVA,,,,,,,,,,,,,,,,
57,IRFC,,KEC,,SPARC,TIRUMALCHM,,,,,,,,,,,,,,,,
58,INDUSINDBK,,KIRLOSBROS,,SUNPHARMA,UPL,,,,,,,,,,,,,,,,
59,INFIBEAM,,KIRLOSENG,,SUPRIYA,VINATIORGA,,,,,,,,,,,,,,,,
60,JMFINANCIL,,KIRLPNU,,SUVENPHAR,,,,,,,,,,,,,,,,,
61,J&KBANK,,LAXMIMACH,,SYNGENE,,,,,,,,,,,,,,,,,
62,KTKBANK,,LLOYDSENGG,,TARSONS,,,,,,,,,,,,,,,,,
63,KARURVYSYA,,MTARTECH,,THYROCARE,,,,,,,,,,,,,,,,,
64,KFINTECH,,MAHSEAMLES,,TORNTPHARM,,,,,,,,,,,,,,,,,
65,KOTAKBANK,,MAZDOCK,,UNICHEMLAB,,,,,,,,,,,,,,,,,
66,L&TFH,,MIDHANI,,VIJAYA,,,,,,,,,,,,,,,,,
67,LICHSGFIN,,MOLDTKPAC,,WOCKPHARMA,,,,,,,,,,,,,,,,,
68,LICI,,PTCIL,,ZYDUSLIFE,,,,,,,,,,,,,,,,,
69,MASFIN,,PARAS,,,,,,,,,,,,,,,,,,,
70,M&MFIN,,POLYCAB,,,,,,,,,,,,,,,,,,,
71,MANAPPURAM,,POLYPLEX,,,,,,,,,,,,,,,,,,,
72,MFSL,,PRAJIND,,,,,,,,,,,,,,,,,,,
